cp_id,prodotto_clanpesca,marca,categoria,prezzo_clanpesca_eur,sito_concorrente,livello_match,prezzo_concorrente_eur,disponibilita,delta_pct,url,data_rilevazione
23200,Amo BKK Titan Diver+,bkk,Mare,10.50,bassstoreitaly.com,famiglia,9.10,disponibile,+15.4,https://bassstoreitaly.com/it/bkk-fishing-hooks-titan-diver-,2026-08-05
23200,Amo BKK Titan Diver+,bkk,Mare,10.50,pescapromo.it,famiglia,7.95,esaurito,+32.1,https://pescapromo.it/t/ami-per-predatori/ami-bkk-titandiver-gold,2026-08-05
23331,BKK Assist Spear 21 SS,bkk,Spinning e Casting,8.90,pescapromo.it,esatto,8.95,disponibile,-0.6,https://pescapromo.it/t/ancorette/ancoretta-bkk-assist-spear-21-ss,2026-08-05
23338,BKK Assist Spear UVO,bkk,Spinning e Casting,9.90,pescapromo.it,famiglia,9.95,esaurito,-0.5,https://pescapromo.it/t/ancorette/ancoretta-bkk-assist-spear-21-uvo,2026-08-05
26220,BKK Basilisk,bkk,Spinning e Casting,5.50,bassstoreitaly.com,famiglia,5.20,esaurito,+5.8,https://bassstoreitaly.com/it/bkk-fishing-hooks-basilisk,2026-08-05
26220,BKK Basilisk,bkk,Spinning e Casting,5.50,pescapromo.it,famiglia,3.49,disponibile,+57.6,https://pescapromo.it/t/ami-per-predatori/bkk-basilisk-offset-hook,2026-08-05
28015,BKK CHAIN-21 STINGER,bkk,Luccio,5.99,bassstoreitaly.com,esatto,5.99,disponibile,+0.0,https://bassstoreitaly.com/it/bkk-fishing-hooks-chain-21-stinger-rig,2026-08-05
28015,BKK CHAIN-21 STINGER,bkk,Luccio,5.99,pescapromo.it,esatto,5.95,disponibile,+0.7,https://pescapromo.it/t/terminali-con-stingers/bkk-chain-21-stinger-rig,2026-08-05
23446,BKK Chaser Punch LRF,bkk,Mare,6.50,pescapromo.it,famiglia,6.75,esaurito,-3.7,https://pescapromo.it/t/teste-piombate/bkk-silent-chaser-punch-lrf-jighead-5pcs,2026-08-05
24618,BKK Complete Armor Point OCD Kit,bkk,Spinning e Casting,275.00,bassstoreitaly.com,famiglia,239.99,disponibile,+14.6,https://bassstoreitaly.com/it/bkk-fishing-hooks-complete-armor-point-ocd-kit,2026-08-05
24618,BKK Complete Armor Point OCD Kit,bkk,Spinning e Casting,275.00,pescapromo.it,famiglia,274.95,disponibile,+0.0,https://pescapromo.it/t/ami-per-predatori/sistema-di-stoccaggio-dei-materiali-bkk-complete-armor-point-ocd-kit,2026-08-05
23239,BKK DSS Worm,bkk,Spinning e Casting,4.50,bassstoreitaly.com,famiglia,4.40,disponibile,+2.3,https://bassstoreitaly.com/it/bkk-fishing-hooks-dss-worm,2026-08-05
23239,BKK DSS Worm,bkk,Spinning e Casting,4.50,pescapromo.it,famiglia,8.95,disponibile,-49.7,https://pescapromo.it/t/ami-drop-shot/amo-dropshot-bkk-dss-worm-uv-4-6-pezzi,2026-08-05
23242,BKK DSS Worm UVO,bkk,Spinning e Casting,4.50,bassstoreitaly.com,famiglia,4.29,esaurito,+4.9,https://bassstoreitaly.com/it/bkk-fishing-hooks-dss-worm-uvo,2026-08-05
26309,BKK Dropshot Armor Point,bkk,Spinning e Casting,5.50,bassstoreitaly.com,famiglia,6.49,disponibile,-15.3,https://bassstoreitaly.com/it/bkk-fishing-hooks-armor-point-dropshot-long-shank,2026-08-05
26268,BKK Dropshot Long Shank Armor Point,bkk,Spinning e Casting,6.49,bassstoreitaly.com,famiglia,6.49,disponibile,+0.0,https://bassstoreitaly.com/it/bkk-fishing-hooks-armor-point-dropshot-long-shank,2026-08-05
23370,BKK Duolock Snap 51,bkk,Mare,3.50,bassstoreitaly.com,esatto,4.10,disponibile,-14.6,https://bassstoreitaly.com/it/bkk-fishing-hooks-duolock-snap-51,2026-08-05
23370,BKK Duolock Snap 51,bkk,Mare,3.50,pescapromo.it,esatto,2.60,disponibile,+34.6,https://pescapromo.it/t/girelle-da-pesca/bkk-duolock-snap-51,2026-08-05
23228,BKK Native 12 BL SS,bkk,Spinning e Casting,8.50,bassstoreitaly.com,esatto,7.90,disponibile,+7.6,https://bassstoreitaly.com/it/bkk-fishing-hooks-native-12-bl-ss,2026-08-05
23220,BKK Native 12 SS,bkk,Spinning e Casting,8.50,bassstoreitaly.com,esatto,7.90,disponibile,+7.6,https://bassstoreitaly.com/it/bkk-fishing-hooks-native-12-bl-ss,2026-08-05
25234,BKK OCD Accessory Box-M,bkk,Luccio,4.99,bassstoreitaly.com,famiglia,4.54,disponibile,+9.9,https://bassstoreitaly.com/it/bkk-fishing-hooks-ocd-accessory-box,2026-08-05
